Card类型,分类,App名称,AI Action场景,必需数据字段,数据来源/API,开发状态
Type A 状态变更型,CRM,HubSpot,"Update Deal Stage
Update Contact
Log Activity","• Deal ID / Contact ID
• Current Stage
• Target Stage
• Pipeline Options","• GET /deals/:id 获取当前状态
• GET /pipelines 获取 Stage 枚举
• PATCH /deals/:id 更新 Stage
• Context: Agent 需识别 Deal 名称并匹配 ID",-
Type A 状态变更型,CRM,HubSpot,"Batch Create/Update Contact
Batch Create/Update Companies
Add Contact to List
Create Workflow
Create Associations","• Contact Properties (Email, Name, Phone, etc.)
• Company Properties
• List ID
• Workflow Name
• Association Type","• POST /contacts/batch/create 批量创建联系人
• POST /contacts/batch/update 批量更新联系人
• POST /companies/batch/upsert 批量创建/更新公司
• POST /lists/:id/add 添加联系人到列表
• POST /workflows 创建工作流
• POST /associations 创建关联关系
• Context: Agent 需处理批量数据并验证格式",-
Type A 状态变更型,CRM,Salesforce,"Update Opportunity
Change Lead Status","• Opportunity ID
• Current Stage
• Target Stage","• GET /sobjects/Opportunity/:id
• PATCH /sobjects/Opportunity/:id
• Stage 枚举来自 Salesforce Schema",-
Type A 状态变更型,项目管理,Linear,"Status Change
Assignee Update
Priority Change","• Issue ID
• Current Status
• Target Status
• Assignee List
• Priority Options","• GET /issue/:id 获取当前状态
• GET /team/:id/states 获取 Status 枚举
• GET /team/:id/members 获取成员列表
• PATCH /issue/:id 更新状态",-
Type A 状态变更型,项目管理,Linear,"Create Issue
Add Comment
Add Attachment
Delete Issue","• Project ID
• Issue Title
• Issue Description
• Assignee (optional)
• Priority (optional)
• Comment Text / Attachment File","• POST /issue 创建 Issue
• POST /issue/:id/comments 添加评论
• POST /issue/:id/attachments 添加附件
• DELETE /issue/:id 删除 Issue
• Context: Agent 需从对话提取 Issue 信息",-
Type A 状态变更型,项目管理,Jira,"Status Transition
Assignee Update
Priority Change","• Issue Key
• Current Status
• Target Status
• Transition ID
• User List","• GET /issue/:key
• GET /issue/:key/transitions 获取可用转换
• GET /user/search 搜索用户
• POST /issue/:key/transitions",-
Type A 状态变更型,项目管理,Jira,"Create Issue
Add Comment
Add Attachment
Delete Issue
Create/Delete Project","• Project Key
• Issue Type
• Summary
• Description
• Assignee (optional)
• Comment Text / Attachment File","• POST /issue 创建 Issue
• POST /issue/:key/comment 添加评论
• POST /issue/:key/attachments 添加附件
• DELETE /issue/:key 删除 Issue
• POST /project 创建项目
• DELETE /project/:key 删除项目
• Context: Agent 需从对话提取 Issue 信息",-
Type A 状态变更型,即时通讯 - Work IM,Slack,"Send Message
Update Message
Reply in Thread","• Channel ID / DM ID
• Message Text
• Thread TS (for replies)
• User/Channel List
• Workspace metadata","• GET /conversations.list 获取频道列表
• GET /users.list 获取用户列表（含 display name, email, role）
• POST /chat.postMessage 发送消息
• Context: Agent 需从对话历史获取 Channel 名称和 Thread context
• 用户通过 display name 或 email 识别",-
Type A 状态变更型,即时通讯 - Work IM,Microsoft Teams,"Send Message
Reply to Thread
Send to Channel","• Channel ID / Chat ID
• Message Text
• Thread ID (for replies)
• User List (from org directory)
• Team metadata","• GET /teams 获取团队列表
• GET /users 获取组织用户列表（含 display name, email, department）
• POST /chats/messages 发送消息
• Context: Agent 需从对话识别收件人并匹配组织目录",-
Type A 状态变更型,即时通讯 - Personal IM,WhatsApp,"Send Message
Send to Contact
Send to Group","• Contact Name
• Phone Number
• Message Text
• Contact ID (optional)
• Group ID (optional)","• GET /contacts 获取联系人列表
• GET /contacts/search 搜索联系人（按名称/号码）
• POST /messages 发送消息
• Context: Agent 需从对话识别收件人名称并匹配电话号码
• 仅有电话号码和用户名，无 workspace metadata
• 支持用户编辑/修正联系人信息",-
Type A 状态变更型,即时通讯 - Personal IM,Telegram,"Send Message
Send to Chat
Send to Channel","• Chat ID / Channel ID
• Username
• Phone Number (optional)
• Message Text
• Contact List","• GET /getMe 验证 Bot 状态
• GET /getUpdates 获取聊天列表
• POST /sendMessage 发送消息
• Context: Agent 需从对话识别收件人并匹配 Username/Chat ID
• 仅有 Username 和 Phone Number，无组织架构信息
• 支持检索和编辑联系人信息",-
Type A 状态变更型,日程管理,Google Calendar,"Create Event
Update Event
Send Invite","• Event Title
• Start/End Time
• Attendees List
• Calendar ID
• Description","• GET /calendars 获取日历列表
• POST /calendars/:id/events 创建事件
• Agent 需从对话提取时间、参与者信息",-
Type B 内容分发型,邮件工具,Gmail,"Draft Email
Send Email
Reply to Thread","• To (Email Address)
• Subject
• Email Body
• Thread ID (for replies)
• Attachments (optional)","• GET /messages/:id 获取原邮件（回复时）
• POST /messages/send 发送邮件
• GET /contacts 获取联系人（支持搜索）
• Context: Agent 需从对话识别收件人名称并补全邮箱",-
Type B 内容分发型,邮件工具,Outlook,"Draft Email
Send Email","• To (Email Address)
• Subject
• Email Body
• CC/BCC (optional)","• GET /me/contacts 获取联系人
• POST /me/sendMail 发送邮件
• GET /me/messages/:id 获取邮件",-
Type B 内容分发型,营销邮件,Mailchimp,"Create Campaign
Send Campaign
Schedule Campaign","• Campaign Name
• Subject Line
• Email Content (HTML)
• Audience/List ID
• Send Time (optional)","• GET /lists 获取受众列表
• POST /campaigns 创建 Campaign
• POST /campaigns/:id/actions/send 发送
• Agent 需从指令提取 Campaign 内容和目标受众",-
Type B 内容分发型,营销邮件,SendGrid,"Send Marketing Email
Create Template","• From Email
• To List
• Subject
• HTML Content
• Template ID (optional)","• GET /marketing/lists 获取联系人列表
• POST /mail/send 发送邮件
• GET /templates 获取模板列表",-
Type B 内容分发型,调研问卷,Typeform,"Create Survey
Send Survey
Distribute Survey","• Survey Title
• Questions
• Recipient List
• Survey Link
• Distribution Method","• POST /forms 创建表单
• GET /forms/:id 获取表单链接
• 需集成邮件 API 进行分发
• Agent 需从指令生成问卷问题结构",-
Type B 内容分发型,调研问卷,SurveyMonkey,"Create Survey
Send Collector","• Survey Title
• Questions
• Collector Type
• Recipient Emails","• POST /surveys 创建调研
• POST /surveys/:id/collectors 创建收集器
• POST /collectors/:id/messages 发送邀请",-
Type B 内容分发型,文档更新,Confluence,"Create Page
Update Page
Add Comment","• Space ID
• Page ID (更新时)
• Page Title
• Content (HTML/Storage Format)
• Parent Page ID","• GET /spaces 获取空间列表
• GET /content 搜索页面
• POST /content 创建页面
• PUT /content/:id 更新页面
• Agent 需从对话识别要更新的页面标题",-
Type B 内容分发型,文档更新,Google Docs,"Create Doc
Update Doc Content
Insert Text","• Document ID (更新时)
• Document Title
• Content Text
• Insert Position
• Folder ID (创建时)","• POST /documents 创建文档
• POST /documents/:id:batchUpdate 批量更新
• GET /documents/:id 获取文档内容
• GET /drive/files 搜索文档",-
Type C 数据检索型,营销分析,Mailchimp,"Generate Campaign Report
Generate Audience Analytics
Export Performance Data","• Campaign ID (optional)
• Date Range (Start/End)
• Report Metrics (Opens, Clicks, etc.)
• Report Format (Summary/Detailed)
• Audience Segment ID (optional)","• GET /reports/campaigns/:id 获取单个 Campaign 报告
• GET /reports 获取所有 Campaign 报告
• GET /lists/:id/growth-history 获取受众增长数据
• GET /lists/:id/activity 获取活动数据
• Context: Agent 分析数据并生成可读性报告
• AI 生成图表说明和洞察建议",-
Type C 数据检索型,销售分析,HubSpot,"Generate Sales Report
Pipeline Analytics
Revenue Forecast","• Date Range (Start/End)
• Pipeline ID
• Report Type (Deals/Revenue/Forecast)
• Team/Owner Filter
• Grouping Options (Stage/Month)","• GET /crm/v3/objects/deals 获取 Deals 数据
• GET /analytics/v2/reports 获取分析报告
• GET /crm/v3/pipelines/deals 获取 Pipeline 配置
• GET /owners 获取所有者列表
• Context: Agent 需计算转化率、预测趋势
• AI 生成执行摘要和行动建议",-
Type C 数据检索型,网站分析,Google Analytics,"Generate Traffic Report
User Behavior Analysis
Conversion Report","• Date Range (Start/End)
• Property ID
• Metrics (Sessions, Users, Conversions)
• Dimensions (Source, Device, Page)
• Segment Filter (optional)","• POST /data:runReport 运行自定义报告
• GET /properties 获取属性列表
• GET /metadata 获取可用维度和指标
• Context: Agent 需理解分析目标并选择合适指标
• AI 生成趋势分析和优化建议",-
Type C 数据检索型,销售分析,Salesforce,"Generate Pipeline Report
Forecast Report
Team Performance","• Date Range (Start/End)
• Report Type ID (optional)
• Opportunity Stage Filter
• User/Team Filter
• Include Forecast (Yes/No)","• GET /analytics/reports 获取报告列表
• POST /analytics/reports/:id/instances 运行报告
• GET /sobjects/Opportunity/describe 获取字段元数据
• GET /sobjects/User 获取用户列表
• Context: Agent 需整合多个数据源
• AI 生成业绩洞察和预测分析",-
Type A 状态变更型,日程管理,Outlook Calendar,"Create Event
Update Event
Send Invite","• Event Title
• Start/End Time
• Attendees List
• Calendar ID
• Description","• GET /calendars 获取日历列表
• POST /calendars/:id/events 创建事件
• PATCH /calendars/:id/events/:eventId 更新事件
• Agent 需从对话提取时间、参与者信息",-
Type A 状态变更型,日程管理,Calendly,"Create Schedule Link
Get Event
List Event Invitees","• Event Type
• Date/Time
• Duration
• Invitee Email/Name","• GET /event_types 获取事件类型
• POST /scheduling_links 创建调度链接
• GET /scheduled_events/:uuid 获取事件详情
• GET /scheduled_events/:uuid/invitees 获取参会者列表
• Context: Agent 需理解用户调度需求",-
Type A 状态变更型,会议管理,Zoom,"Create Meeting
Delete Meeting
Get Meeting Link
Delete Meeting User","• Meeting Topic
• Start Time
• Duration
• Attendees (optional)
• Meeting ID (for delete/get)","• POST /meetings 创建会议
• DELETE /meetings/:id 删除会议
• GET /meetings/:id 获取会议链接
• DELETE /meetings/:id/registrants/:registrantId 删除参会者
• Context: Agent 需从对话提取会议信息",-
Type A 状态变更型,开发工具,Github,"Create Issue
Create Branch
Create Pull Request
Create/Update File
Add Comment
Create Repository
Create Workflow Dispatch","• Repository Name
• Issue Title/Body
• Branch Name
• PR Title/Body
• File Path/Content
• Comment Text
• Workflow Name","• POST /repos/:owner/:repo/issues 创建 Issue
• POST /repos/:owner/:repo/git/refs 创建分支
• POST /repos/:owner/:repo/pulls 创建 PR
• PUT /repos/:owner/:repo/contents/:path 创建/更新文件
• POST /repos/:owner/:repo/issues/:number/comments 添加评论
• POST /user/repos 创建仓库
• POST /repos/:owner/:repo/actions/workflows/:id/dispatches 触发工作流
• Context: Agent 需识别仓库和分支信息",-
Type A 状态变更型,开发工具,Gitlab,"Create Issue
Create Branch
Create Pull Request
Create/Update File
Add Comment
Create Repository","• Project ID
• Issue Title/Description
• Branch Name
• MR Title/Description
• File Path/Content
• Comment Text","• POST /projects/:id/issues 创建 Issue
• POST /projects/:id/repository/branches 创建分支
• POST /projects/:id/merge_requests 创建 MR
• POST /projects/:id/repository/files/:path 创建文件
• PUT /projects/:id/repository/files/:path 更新文件
• POST /projects/:id/issues/:issue_id/notes 添加评论
• POST /projects 创建项目
• Context: Agent 需识别项目和分支信息",-
Type B 内容分发型,协作文档,Google Sheet,"Create Comment
Create New Row
Create New Sheet","• Spreadsheet ID
• Sheet Name
• Row Data (cells)
• Comment Text
• Cell Range","• POST /spreadsheets/:id/values/:range:append 添加行
• POST /spreadsheets/:id 创建新工作表
• POST /spreadsheets/:id/comments 创建评论
• GET /spreadsheets/:id 获取表格信息
• Context: Agent 需理解表格结构并格式化数据",-
Type B 内容分发型,协作文档,Google Slide,"Create Slide
Create Presentation
Delete Slide","• Presentation ID
• Slide Index
• Slide Content (Title, Text, Images)
• Presentation Title","• POST /presentations 创建演示文稿
• POST /presentations/:id/batchUpdate 创建幻灯片
• POST /presentations/:id/batchUpdate (deleteObject) 删除幻灯片
• GET /presentations/:id 获取演示文稿信息
• Context: Agent 需理解演示内容结构",-
Type B 内容分发型,协作文档,Notion,"Create Page
Create Comment
Create Database","• Page Title
• Page Content (blocks)
• Parent Page/Database ID
• Comment Text
• Database Properties","• POST /pages 创建页面
• POST /comments 创建评论
• POST /databases 创建数据库
• GET /databases/:id 获取数据库结构
• GET /pages/:id 获取页面内容
• Context: Agent 需理解 Notion 的 Block 结构",-
