应用名称,类型,能力,操作,优先级,原因说明,开发状态,是否内置
HubSpot,CRM,修改/编辑,更新 Deal 阶段,High,销售流程最核心操作,已支持,FALSE
HubSpot,CRM,修改/编辑,更新联系人信息,Medium,客户信息维护,已支持,FALSE
HubSpot,CRM,修改/编辑,记录活动日志,Medium,客户互动追踪,已支持,FALSE
HubSpot,CRM,修改/编辑,批量创建/更新联系人,Medium,批量数据管理,已支持,FALSE
HubSpot,CRM,修改/编辑,批量创建/更新公司,Medium,批量数据管理,已支持,FALSE
HubSpot,CRM,修改/编辑,添加联系人到列表,Low,营销自动化辅助,已支持,FALSE
HubSpot,CRM,修改/编辑,创建工作流,Low,自动化业务流程,已支持,FALSE
HubSpot,CRM,修改/编辑,创建关联关系,Low,数据关联管理,已支持,FALSE
HubSpot,CRM,检索/查询,生成销售报告,High,数据分析核心功能,已支持,FALSE
HubSpot,CRM,检索/查询,Pipeline 分析,Medium,销售漏斗洞察,已支持,FALSE
HubSpot,CRM,检索/查询,收入预测,Medium,业务预测能力,已支持,FALSE
Salesforce,CRM,修改/编辑,更新 Opportunity 阶段,High,销售流程最核心操作,规划中,FALSE
Salesforce,CRM,修改/编辑,更改 Lead 状态,Medium,线索管理,规划中,FALSE
Salesforce,CRM,检索/查询,生成 Pipeline 报告,High,销售分析核心功能,规划中,FALSE
Salesforce,CRM,检索/查询,预测报告,Medium,业务预测,规划中,FALSE
Salesforce,CRM,检索/查询,团队业绩分析,Medium,团队管理,规划中,FALSE
Linear,任务管理,修改/编辑,更改状态,High,最高频操作,已支持,FALSE
Linear,任务管理,修改/编辑,创建 Issue,High,快速记录 Bug/Feature,已支持,FALSE
Linear,任务管理,修改/编辑,更新负责人,Medium,任务分配,已支持,FALSE
Linear,任务管理,修改/编辑,调整优先级,Medium,任务优先级管理,已支持,FALSE
Linear,任务管理,修改/编辑,添加评论,Medium,团队协作沟通,已支持,FALSE
Linear,任务管理,修改/编辑,添加附件,Low,补充信息,已支持,FALSE
Linear,任务管理,修改/编辑,删除 Issue,Low,清理任务,已支持,FALSE
Linear,任务管理,检索/查询,搜索任务,Medium,快速定位任务,规划中,FALSE
Linear,任务管理,检索/查询,获取任务详情,Medium,了解任务全貌,规划中,FALSE
Jira,任务管理,修改/编辑,状态转换,High,工作流最核心操作,已支持,FALSE
Jira,任务管理,修改/编辑,创建 Issue,High,快速记录 Bug/Story,已支持,FALSE
Jira,任务管理,修改/编辑,更新负责人,Medium,任务分配,已支持,FALSE
Jira,任务管理,修改/编辑,调整优先级,Medium,任务优先级管理,已支持,FALSE
Jira,任务管理,修改/编辑,添加评论,Medium,团队协作沟通,已支持,FALSE
Jira,任务管理,修改/编辑,添加附件,Low,补充信息,已支持,FALSE
Jira,任务管理,修改/编辑,删除 Issue,Low,清理任务,已支持,FALSE
Jira,任务管理,修改/编辑,创建/删除项目,Low,项目管理,已支持,FALSE
Jira,任务管理,检索/查询,搜索任务,Medium,快速定位任务,规划中,FALSE
Jira,任务管理,检索/查询,获取任务详情,Medium,了解任务全貌,规划中,FALSE
Slack,即时通讯,修改/编辑,发送消息,High,团队沟通核心,已支持,FALSE
Slack,即时通讯,修改/编辑,更新消息,Low,消息修正,已支持,FALSE
Slack,即时通讯,修改/编辑,回复 Thread,Medium,主题讨论,已支持,FALSE
Microsoft Teams,即时通讯,修改/编辑,发送消息,High,企业沟通核心,已支持,FALSE
Microsoft Teams,即时通讯,修改/编辑,回复 Thread,Medium,主题讨论,已支持,FALSE
Microsoft Teams,即时通讯,修改/编辑,发送频道消息,Medium,团队广播,已支持,FALSE
WhatsApp,即时通讯,修改/编辑,发送消息,High,个人沟通核心,已支持,FALSE
WhatsApp,即时通讯,修改/编辑,发送给联系人,Medium,私聊功能,已支持,FALSE
WhatsApp,即时通讯,修改/编辑,发送群组消息,Medium,群聊功能,已支持,FALSE
Telegram,即时通讯,修改/编辑,发送消息,High,个人沟通核心,已支持,FALSE
Telegram,即时通讯,修改/编辑,发送到聊天,Medium,私聊功能,已支持,FALSE
Telegram,即时通讯,修改/编辑,发送到频道,Medium,广播功能,已支持,FALSE
Google Calendar,日程管理,修改/编辑,创建事件,High,日程安排核心,已支持,FALSE
Google Calendar,日程管理,修改/编辑,更新事件,Medium,日程调整,已支持,FALSE
Google Calendar,日程管理,修改/编辑,发送邀请,Medium,会议邀请,已支持,FALSE
Google Calendar,日程管理,检索/查询,查询日程,Medium,时间管理,规划中,FALSE
Google Calendar,日程管理,检索/查询,检查忙闲,Medium,约会协调,规划中,FALSE
Outlook Calendar,日程管理,修改/编辑,创建事件,High,日程安排核心,已支持,FALSE
Outlook Calendar,日程管理,修改/编辑,更新事件,Medium,日程调整,已支持,FALSE
Outlook Calendar,日程管理,修改/编辑,发送邀请,Medium,会议邀请,已支持,FALSE
Outlook Calendar,日程管理,检索/查询,查询日程,Medium,时间管理,规划中,FALSE
Outlook Calendar,日程管理,检索/查询,检查忙闲,Medium,约会协调,规划中,FALSE
Calendly,日程管理,修改/编辑,创建调度链接,High,自动化约会核心功能,已支持,FALSE
Calendly,日程管理,检索/查询,获取事件详情,Medium,了解约会信息,已支持,FALSE
Calendly,日程管理,检索/查询,列出参会者,Low,参会者管理,已支持,FALSE
Zoom,会议管理,修改/编辑,创建会议,High,远程办公核心,已支持,FALSE
Zoom,会议管理,修改/编辑,删除会议,Medium,取消会议,已支持,FALSE
Zoom,会议管理,检索/查询,获取会议链接,Medium,快速入会,已支持,FALSE
Zoom,会议管理,修改/编辑,删除参会者,Low,参会者管理,已支持,FALSE
Zoom,会议管理,检索/查询,查询会议列表,Medium,查看待开会议,规划中,FALSE
Zoom,会议管理,检索/查询,查询录制,Low,回顾会议内容,规划中,FALSE
Gmail,邮件工具,修改/编辑,发送邮件,High,商务沟通核心,已支持,FALSE
Gmail,邮件工具,修改/编辑,起草邮件,Medium,邮件准备,已支持,FALSE
Gmail,邮件工具,修改/编辑,回复邮件,Medium,邮件往来,已支持,FALSE
Outlook,邮件工具,修改/编辑,发送邮件,High,商务沟通核心,已支持,FALSE
Outlook,邮件工具,修改/编辑,起草邮件,Medium,邮件准备,已支持,FALSE
Mailchimp,营销邮件,修改/编辑,发送营销活动,High,营销执行核心,已支持,FALSE
Mailchimp,营销邮件,修改/编辑,创建营销活动,Medium,邮件营销准备,已支持,FALSE
Mailchimp,营销邮件,修改/编辑,定时发送,Medium,营销自动化,已支持,FALSE
Mailchimp,营销邮件,检索/查询,生成营销报告,High,数据分析核心功能,已支持,FALSE
Mailchimp,营销邮件,检索/查询,受众分析,Medium,用户洞察,已支持,FALSE
SendGrid,营销邮件,修改/编辑,发送营销邮件,High,邮件营销核心,已支持,FALSE
SendGrid,营销邮件,修改/编辑,创建模板,Medium,模板管理,已支持,FALSE
Typeform,调研问卷,修改/编辑,创建问卷,High,用户调研核心,已支持,FALSE
Typeform,调研问卷,修改/编辑,删除表单,Low,表单管理,已支持,FALSE
Typeform,调研问卷,修改/编辑,复制表单,Low,快速创建,已支持,FALSE
Typeform,调研问卷,检索/查询,获取表单,Medium,查看问卷,已支持,FALSE
Typeform,调研问卷,检索/查询,列出表单,Medium,表单列表,已支持,FALSE
Typeform,调研问卷,检索/查询,列出回复,Medium,查看问卷结果,已支持,FALSE
SurveyMonkey,调研问卷,修改/编辑,创建问卷,High,用户调研核心,规划中,FALSE
SurveyMonkey,调研问卷,修改/编辑,发送收集器,Medium,问卷分发,规划中,FALSE
Confluence,文档同步,修改/编辑,创建文档,High,知识管理核心,已支持,FALSE
Confluence,文档同步,修改/编辑,更新文档,Medium,内容维护,已支持,FALSE
Confluence,文档同步,修改/编辑,创建评论,Low,协作讨论,已支持,FALSE
Confluence,文档同步,检索/查询,搜索文档,Medium,知识获取,规划中,FALSE
Confluence,文档同步,检索/查询,读取页面内容,Medium,AI 阅读理解,规划中,FALSE
Google Docs,文档同步,修改/编辑,创建文档,High,快速起草核心功能,已支持,FALSE
Google Docs,文档同步,修改/编辑,更新文档内容,Medium,内容编辑,已支持,FALSE
Google Docs,文档同步,修改/编辑,插入文本,Medium,内容补充,已支持,FALSE
Google Docs,文档同步,修改/编辑,创建评论,Low,协作讨论,已支持,FALSE
Google Docs,文档同步,检索/查询,搜索文档,Medium,知识获取,规划中,FALSE
Google Docs,文档同步,检索/查询,读取文档内容,Medium,AI 阅读理解,规划中,FALSE
Google Sheet,协作文档,修改/编辑,创建新行,High,数据录入核心功能,已支持,FALSE
Google Sheet,协作文档,修改/编辑,创建新工作表,Medium,表格管理,已支持,FALSE
Google Sheet,协作文档,修改/编辑,创建评论,Low,协作讨论,已支持,FALSE
Google Sheet,协作文档,检索/查询,获取表格信息,Medium,数据查看,规划中,FALSE
Google Slide,协作文档,修改/编辑,创建演示文稿,High,新建演示核心功能,已支持,FALSE
Google Slide,协作文档,修改/编辑,创建幻灯片,Medium,演示文稿制作,已支持,FALSE
Google Slide,协作文档,修改/编辑,删除幻灯片,Low,内容管理,已支持,FALSE
Notion,协作文档,修改/编辑,创建页面,High,知识管理核心,已支持,FALSE
Notion,协作文档,修改/编辑,创建数据库,Medium,结构化信息管理,已支持,FALSE
Notion,协作文档,修改/编辑,创建评论,Low,协作讨论,已支持,FALSE
Notion,协作文档,检索/查询,搜索文档,Medium,知识获取,规划中,FALSE
Notion,协作文档,检索/查询,读取页面内容,Medium,AI 阅读理解,规划中,FALSE
Github,开发工具,修改/编辑,创建 Issue,High,问题追踪核心功能,已支持,FALSE
Github,开发工具,修改/编辑,创建分支,Medium,代码管理,已支持,FALSE
Github,开发工具,修改/编辑,创建 Pull Request,Medium,代码审查,已支持,FALSE
Github,开发工具,修改/编辑,创建/更新文件,Medium,代码编辑,已支持,FALSE
Github,开发工具,修改/编辑,添加评论,Low,协作讨论,已支持,FALSE
Github,开发工具,修改/编辑,创建仓库,Low,项目初始化,已支持,FALSE
Github,开发工具,修改/编辑,触发工作流,Low,CI/CD 自动化,已支持,FALSE
Github,开发工具,检索/查询,搜索 Issues,Medium,问题查找,已支持,FALSE
Github,开发工具,检索/查询,搜索 Pull Requests,Medium,代码审查管理,已支持,FALSE
Gitlab,开发工具,修改/编辑,创建 Issue,High,问题追踪核心功能,已支持,FALSE
Gitlab,开发工具,修改/编辑,创建分支,Medium,代码管理,已支持,FALSE
Gitlab,开发工具,修改/编辑,创建 Merge Request,Medium,代码审查,已支持,FALSE
Gitlab,开发工具,修改/编辑,创建/更新文件,Medium,代码编辑,已支持,FALSE
Gitlab,开发工具,修改/编辑,添加评论,Low,协作讨论,已支持,FALSE
Gitlab,开发工具,修改/编辑,创建项目,Low,项目初始化,已支持,FALSE
Gitlab,开发工具,检索/查询,搜索 Issues,Medium,问题查找,已支持,FALSE
Gitlab,开发工具,检索/查询,搜索 Merge Requests,Medium,代码审查管理,已支持,FALSE
Google Analytics,数据分析,检索/查询,生成流量报告,High,网站分析核心功能,规划中,FALSE
Google Analytics,数据分析,检索/查询,用户行为分析,Medium,用户洞察,规划中,FALSE
Google Analytics,数据分析,检索/查询,转化报告,Medium,业务优化,规划中,FALSE
